aa	ah
isha	end
isha	come to end
isha	terminate
isha	cease expire perish
ishara	symbol
ishara	token
ishara	sign
ishara	mark portent
ishara	beck
ishara	gesture
ishara	leitmotif indication
ishi	live
ishi	exist
ishi	outlast
ishi	be alive
ishi	lead a good or bad life
ishia	finish up
ishia	end at resort to
ishirini	twenty
ishiwa	be broke
ishiwa	be bankrupt
isi	fish
isimu	linguistics
isimu	emphatic negation
isipokuwa	except
isipokuwa	except for
isipokuwa	if it werent for
isitoshe	futhermore
isitoshe	on top of that
isotopu	isotope
istiara	metaphor
istiari	allegory
istihaki	privilege
istihaki	advantage given to a group of people
istiimari	colonialism
istilahi	terminology
istilahi	technical term jargon
istiskaa	special rain prayer
istiwai	equator
ita	call
ita	summon
ita	beckon
ita	phone name
ita	give a name to
ita	invite
itabiri	think about something
itabiri	take into consideration
itabiri	take note
italiki	italic
ithibati	proof
ithibati	evidence
ithibati	imprimatur
itibari	trust faith
itibari	regard
itibari	respect
itibari	esteem
itifaki	entente
itifaki	accord
itifaki	mutual understanding
itifaki	protocol
itika	reply
itika	answer
itika	respond
itikadi	belief
itikadi	faith
itikadi	commitment
itikadi	ideology
itikia	answer to a call
itikia	sing chorus line of a song
itikia	reply
itikia	respond
itiko	answer
itiko	response
itilo	big rope used in vessels tied from both sides of vessel yard to the poles
itisha	convoke
itisha	call for
itisha	give notice of
ito	decoration of an eye image on a ships prow
itwa	be entitled
itwa	be named called
iva	ripen
iva	be ripe mature
iva	be ready to be eaten be cooked
iwapo	if
iwapo	when
iza	disagree
izara	shame
izara	disgrace
izu	banana
ja	come
ja	turn up
jaa	become full jampack overfill
jaa	dump
jaa	rubbish heap
jaa	dunghill
jaa	garbage heap
jaa	sweepings
jaala	grace of God
jaala	talent
jaala	endowments
jaaza	fate
jaaza	destiny
jabali	rock
jabali	outcrop cliff crag megalith
jabali	rocky hill or mountain
jabali	precipice
jabali	raised line of needlework across the back in a calico gown
jabara	medicine for healing dislocations or broken bones
Jabari	God the Compeller
Jabari	Supreme Ruler
jabari	brave
jabari	fearless person
jabari	proud person
jadhibika	be excited
jadi	tradition
jadidi	strongly
jadidi	firmly
jadili	discuss
jadili	argue
jadili	debate bargain contest
jadili	dispute
jadiliana	discuss with
jadiliana	negotiate with sb argue together
jadiliana	dispute
jagi	jug
jagi	pitcher
jagi	stoup
jagina	brave
jagina	fearless person
jaha	honour
jaha	glory
jaha	prosperity
jaha	good fortune
jaha	good luck
jahabu	dockyard
jahabu	dock a vessel for repair
jahanamu	gehenna
jahanamu	underworld
jahanamu	hell
jahara	openly
jahara	frankly
jahara	plainly he discussed with them openly
jahara	loudly
jahazi	dhow galleon junk sloop
jahi	North Pole
jahili	merciless
jahili	cruel
jahili	villainous
jahili	bandit fool ignorant
jahimu	gehenna
jahimu	hell
jaivu	jive
jaja	perennial herb with small yellow
jaja	blue
jaja	mauve
jaja	or lilac flowers
jaji	judge
jakamoyo	dismay
jakamoyo	trouble
jakamoyo	confusion
jakamoyo	perplexity inquietude premonition
jaketi	jacket
jalada	cover
jalada	file bind portfolio
jalala	dump
Jalali	God the sublime
Jalali	majesty
jali	care
jali	be concerned
jali	pay give heed to
jali	take heed of
jali	respect
jali	honour
jali	regard with esteem
jalia	grant
jalia	empower
jalia	enable
jalia	be gracious esp of Gods favour
Jalia	taz
jalidi	bind
jalidi	whip
jalidi	scourge
jalidi	frost
jaliko	invitation
jaliko	call
jaliko	summons
jaliko	group of women who invite people to a wedding
jaliko	feast etc
jalili	eminent
jalili	sublime
jalili	glorious
jaliza	add more of something to fill up
jaluba	rice bed
jamaa	relative
jamaa	colleague
jamaa	somebody
jamaa	bloke
jamaa	guy
jamala	good manners
jamala	good behaviour
jamala	courtesy
jamala	grace
jamala	kindness
jamala	goodness benefaction
jamala	boon comfort
jamali	camel
jamali	good
jamali	kind
jamali	gracious
jamanda	case round basket with cover hamper
jamani	hey
jamani	My God My goodness
jamati	temple of the Ismailia
jamba	fart
jamba	break wind
jambakoti	tabard
jambazi	armed robber
jambazi	gunman
jambazi	hoodlum house-wrecker
jambeni	cross-cut saw
jambia	sword
jambia	poniard
jambia	scimitar
jambika	tie cloth over a shoulder
jambo	matter
jambo	business
jambo	circumstances fait accompli
jamiikunde	legume
jambwe	pooh
jamdani	white brocade
jamhuri	republic
jamia	assembly
jamia	crowd
jamia	mass of people
jamidi	stick
jamidi	adhere to
jamidi	hard
jamidi	difficult
jamii	have sexual intercourse
jamii	copulate
jamii	sleep with
jamii	community
jamii	society
jamii	body the mass
jamii	the public
jamii	brand breed groups
jamii	phylum social
jamii	socio
jamiiana	copulate
jamu	many
jamu	plenty
jamvi	big floor mat made of straw
jamvi	concrete floor of a building
jamvi	fine given in local courts prostitute who entertains guests and visitors wind up business activity pay costs of running a case
jana	yesterday
jana	grub of a bee
janaa	shame
janaa	disgrace
janaa	dishonour
janaba	defilement by coition or discharge of semen
janabi	honourable
jando	circumcision rites
jando	group of young men attending circumcision rites
janga	calamity
jangili	poacher
jangili	rogue
janguo	coconut harvesting season
janguo	coconut picking harvesting
janguo	wage salary it is pay day today
jangwa	desert
jangwa	wilderness
jangwa	waste
jangwa	barren ground
jani	leaf leaflet
jani	blade of grass palm
janibu	side
jaribu	locality
jaribu	neighbourhood
jaribu	place
jaribu	side
jaribu	flank
jaribu	parts
janja	canny knowing crafty long-headed oily sly
janjaruka	become clever shrewd
janna	disembodied spirit
Januari	January
japo	even if
japo	although
jaramandia	bag for keeping arms
jarari	halyard
jarari	drawer
jari	force
jari	strength
jari	power
jaribio	test
jaribio	quiz
jaribio	experiment
jaribio	attempt trial
jaribio	temptation
jaribio	essay
jaribosi	foil
jaribosi	gold-foil gold-leaf
jaribu	endeavour
jaribu	attempt
jaribu	experiment
jaribu	seek
jaribu	test
jarida	journal
jarida	periodical
jarife	drag-net
jarife	seine
jasadi	body trunk
jasho	sweat lather
jasho	effort
jasho	hard labour
jasi	gypsum
jasi	French-chalk
jasi	round silver plated earing
jasiri	be bold
jasiri	dare
jasiri	risk
jasiri	brave
jasiri	venturesome
jasiri	audacious
jasiri	bold
jasiri	dauntless
jasirisha	venture
jasisi	explore carefully
jasisi	spy upon
jasusi	spy
jawabu	answer
jawabu	reply
jaza	make full
jaza	fill congest
jaza	cram
jaza	overfill overload pile be eaten up with
jazana	be plenty
jazana	be crowded
jazana	be crammed
jazanda	image
jazanda	impression
jazba	emotion
jazi	jazz
jazila	measure of weight especially of cereals of about
jazila	bs
jazo	increase
jazo	addition
jazna	present
jazna	reward
jazna	gift
jazna	present given by a bridegroom to his virgin bride
je	interrogative particle
jebu	pendant
jedhamu	leprosy
jedwali	table schedule
jedwali	multiplication table periodic table
jefule	brutal behaviour
jefule	roughness
jefule	tyranny
jefule	lack of peacefulness orderliness
jekejeke	sweating
jekejeke	sweat
jekejeke	trouble
jekejeke	annoyance
jekejeke	bother
jekejeke	distrubance
jeki	jack
jela	prison
jela	pernitentiary
jela	jail
jelatini	gelatin
jelebi	pastry bun dipped in sugar
jelezi	nausea
jelezi	sick feeling
jeli	jelly blancmange
jemadari	marshal
jembe	hoe
jembetezo	mattock
jemu	jam preserve
jenasi	genus
jenerali	general
jenerali	chief commanding officer in the army
jenereta	generator
jeneza	bier
jeneza	coffin
jenga	build
jenga	construct make
jenga	develop
jengeka	be built very well and attractively
jengele	small intestine
jengele	penis
jengo	building
jengo	construction
jengua	demolish
jengua	pull down a building
jengua	take a building to pieces
jeraha	wound
jeraha	sore
jeraha	ulcer gash lesion
jeraha	effect
jerontolojia	gerontology
jeruhi	afflict a wound
jeruhi	injure
jeshi	army
jeshi	force
jeshi	troop paratroops
jeta	sea snail slug found in rocks
jeta	lazy person who asks other people to get things for him her even things which are quite near by
jeta	expect to receive something from sb who is able to help
jeta	boast
jeta	show off
jeti	jet
jeti	jet
jeti	black ornamental stone
jeuri	rudeness rude
jeuri	insolent strong-minded saucy
jezi	jersey
jerikeni	jerrycan
jia	come with a special purpose
jia	come
jiachia	forget oneself
jiachia	be given over to sth
jiamini	have confidence in oneself
jiamini	feel find ones feet
jiaminisha	be bold
jiaminisha	dare
jiaminisha	risk
jiamulia	decide oneself
jiamulia	take the liberty of doing sth
jiandaa	prepare oneself
jiandaa	get ready
jiandaa	lay oneself out
jiandikisha	enrol
jiandikisha	register oneself check in
jibaidisha	stay aloof
jibaidisha	disassociate
jibaidisha	seclude oneself
jibanza	squeeze oneself up in a small space
jibanza	hide oneself
jibanza	lurk
jibanza	take refuge
jibari	isolate oneself
jibari	stay aloof
jibini	cheese
jibodoa	boast
jibodoa	brag
jibodoa	show off
jibu	answer
jibu	respond
jibu	reply
jibu	react to
jibu	answer
jibu	response
jibu	reply
jichekea	titter
jicho	eye
jicho	optic
jichungua	introspect
jidai	boast
jidai	show off
jidai	pretend
jidanganya	deceive oneself
jidhalilisha	eat humble pie
jidhalilisha	lower oneself
jidhalilisha	bow and scrape
jidhamini	pledge oneself
jidhihirisha	manifest oneself
jidhili	grovel
jidukiza	intrude
jidukiza	obtrude upon
jieleza	elaborate talk about oneself
jiendeleza	better oneself
jiendeleza	affect feign sham
jiendeleza	pose as
jifanya	pretend
jifanya	act up
jifaragua	pretend to be knowledgeable
jifaragua	boast
jifaragua	act up
jifariji	take comfort
jificha	hide
jificha	lurk
jifikiria	introspect
jifu	dead body
jifu	carcas
jifu	unstable thing
jifunga	conceive work hard get to work pull up ones socks
jifungua	give birth
jifungua	bear
jifunza	learn
jifunza	study
jifurahisha	have fun
jifurahisha	indulge oneself
jifurahisha	let oneself go
jifurahisha	have a good time
jifutua	boast
jifutua	brag
jifya	hearthstone
jifya	firebrick
jigamba	boast
jigamba	brag rant
jigeuza	sham
jigija	black thing
jigija	pitch-black substance
jiha	one side of a thing
jihadhari	be cautions
jihadhari	take care
jihadhari	keep clear of sth
jihadi	jihad holy war
jihami	protect oneself
jihami	defend oneself
jihimu	get up very early
jihimu	rise with the sun
jihini	abstain refuse oneself
jihusisha	relate with be connected to be involved with
jihusisha	have a finger in the pie
jiingiza	indulge in obtrude upon
jiji	city
jika	push
jikaza	persevere persevere despite major odds grin and bear it take a grip on oneself
jike	female animal
jike	seven
jikedume	hoyden
jiketua	pretend
jikimu	self-support
jikinga	fend
jikita	boast
jikita	erect oneself firmly
jikita	hold firmly
jiko	kitchen
jiko	caboose
jiko	stove
jiko	cooker
jikokota	crawl
jikokota	plod trudge
jikomba	ingratiate oneself
jikomboa	liberate oneself
jikongoja	dodder jog along on
jikongoja	traipse
jikosha	evade blame
jikusuru	deny oneself pleasures so as to accomplish something collect oneself
jikusuru	try hard
jikwaa	stumble
jilaza	couch
jilinda	fend for oneself
jilisi	sit
jimamasa	pretend not to understand
jimbi	cock
jimbi	rooster
jimbi	taro plant tuber
jimbi	bracken
jimbo	province tract
jimbo	constituency
jimbo	diocese
jimbo	medicinal bath given to babies to keep them healthy
jimbu	rainwater trench
jina	name
jinadhifisha	preen
jinai	crime
jinaki	vaunt
jinaki	talk big
jinaki	free oneself of error
jinakolojia	gynaecology
jinamizi	nightmare
jinamizi	incubus monster
jinasibisha	relate oneself with something sb
jinata	be conceited
jinata	swank
jini	gin
jini	genie
jini	sprit demon Belial
jini	wicked person
jino	tooth
jinsi	type
jinsi	sort manner process
jinsi	sex such as
jinsia	sex
jinsia	gender
jinyima	abstain
jinyima	mortify the flesh
jinusurisha	save ones hide
jinyonga	hang oneself take ones own life
jinyosha	stretch oneself lie
jio	evening
jiofizikia	geophysics
jiografia	geography
jiolojia	geology
jiometri	geometry
jiona	be conceited
jiona	boast
jiondoa	secede
jioni	evening
jionyesha	manifest oneself
jionyesha	reveal oneself
jipendekeza	ingratiate oneself
jipendekeza	court
jipendekeza	flatter
jipendekeza	indulge oneself in with sth
jipima	introspect
jipindua	summersault
jipongeza	plume oneself
jipu	boil
jipu	abscess
jipu	jeep
jira	cumin seed
jirafu	refrigerator
jiramba	lick ones lips
jirani	neighbour
jirani	neighbourhood
jiri	take place take effect
jiri	happen
jiriwa	vice
jiriwa	clamp
jiriwa	trap
jirudi	mortify the flesh
jisa	talk esp at night
jisa	talk esp after sleeping time
jisa	confabulate
jisaidia	l attend to a call of nature
jisaidia	do something good for oneself
jisalimisha	submit to sb sth
jisalimisha	surrender
jishughulisha	engross
jishughulisha	be engaged in
jishughulisha	intermeddle
jisikia	be in the mood
jisimu	shape feature
jishusha	stoop
jisingizia	affect
jisingizia	make believe
jisingizia	pretend sham
jisu	knife for tapping palm trees
jitahidi	perform diligently
jitahidi	make an effort
jitahidi	endeavour
jitahidi	seek strain
jitanibu	isolate oneself
jitanibu	resign from
jitanibu	shun
jitapa	boast
jitapa	brag
jitenga	secede from
jitenga	seclude stand aloof
jitia	affect
jitihada	diligence
jitihada	effort kv sedulous
jitimai	grief
jitimai	sorrow
jitimai	affliction
jitoa	concede retire withdraw
jitoa	yield
jitokeza	develop emerge come to the front spring up
jitu	ma- big and strong person
jitu	giant
jitukusa	move ones body
jitwalia	appropriate arrogate
jitwalia	usurp
jitwaza	be conceited
jitwaza	swank
jitwaza	boast
jitweza	stoop
jiua	commit suicide make away with oneself
jiua	take ones own life
jiunga	join
jiuzulu	resign
jiuzulu	lay down office
jiuzulu	send in ones papers
jivii	gentian-violet
jivu	ash
jivujivu	grey
jivuna	be proud
jivuna	glorify oneself
jivunia	be proud of
jivuta	traipse
jiwe	stone
jiwe	holystone
jizatiti	be ready for sth
jizia	tax paid by non Muslims in a muslim country
jizoeza	acquaint oneself
jodari	fish of the shark family
jodipa	jodhpurs
joga	chicken
joga	coward
jogoo	cock
jogoo	rooster capon
jogoo	hero around
jogoo	am around
jogoo	am
johari	jewel
joho	robe esp decorated
joho	mantle pelisse
joko	furnace kiln
jokofu	refrigerator
jometri	geometry
jongea	move towards budge come forward near
jongelea	move near something approach
jongo	rheumatism
jongomeo	next world
jongonene	type of decorative stitch
jongoo	millipede
jongoo	centipede impotent man
jopo	panel
jora	roll of cloth of about
jora	metres
jore	broad billed roller
jore	card game
joshi	windward movement of a vessel
joshi	fast
josho	dipping trough
joto	heat
joto	temperature
jouli	joule
joya	soft nut of coconut smooth and soft
joyo	pith
jozi	pair
jozi	set of playing cards
jua	know
jua	sun
juakali	informal sector
juba	jellaba
juba	chisel drove
jubilei	jubilee
jubuni	celebratory jovial
juburu	force
juburu	compel
judo	judo
jugwe	tug of war
juha	fool
juha	imbecile simpleton
juha	idiot
juisi	juice
juhudi	effort
juhudi	exertion
juhudi	ardour
juhudi	zeal
juju	juju
jukumu	risk
jukumu	responsibility
jukwaa	stage scaffold catafalque
jukwaa	float
jukwaa	platform podium
jukwaa	rostrum
jukwaa	stand tribune
Julai	July
julfa	chignon
julikana	be famous
julikana	emerge
julikana	be in the fore-front
julikana	be in the limelight
julikana	come into prominence
julisha	acquaint
julisha	inform introduce convey
juludi	skin
juma	week
Jumamosi	Saturday
Jumanne	Tuesday
Jumapili	Sunday
Jumatano	Wednesday
jumba	large house mansion palace museum theatre Presidential Palace
jumba	State House
jumbe	headman
jumbereru	type of Bombay duck
jumbo	shape
jumla	total
jumla	sum
jumla	summation lump
jumla	wholesale
jumlisha	add
jumlisha	total
jumlisha	sum up count cover
jumu	big straw basket
jumu	big knife
jumuia	community
jumuia	confraternity
jumuia	bloc
jumuia	association
jumuia	union
jumuika	congregate
jumuisha	form a conglomerate
jumuisha	collectivize
jumuisha	lump together reckon up
jumuiya	see
junaa	shame scandal
Juni	June
junju	hair tuft
jupita	jupiter
jupita	Jupiter
jura	simpleton
jura	idiot
jura	fool
jurawa	grey-headed sparrow
jusuru	dare
jusuru	venture risk
juta	regret
jutia	rue
jutia	regret
juto	regret
juto	remorse
juu	on
juu	over
juu	supra above
juvi	supercilious
juvya	inform acquaint
juya	seine drag-net
juzi	day before yesterday
juzi	few days before
juzi	recent
juzi	learned
juzi	versed in
juzu	be obligatory
juzu	suit
juzuu	chapter of Quran
juzuu	volume
juzuu	tome
ka	gosh gracious
kaa	charcoal
kaa	crab Cancer
kaa	sit
kaaba	Kaabah
kaakaa	palate
kaanga	fry
kaanga	k
kaba	choke
kaba	strangle
kaba	throttle
kaba	garrotte
kaba	lining sown on the neck or shoulders of a robe
kababu	meat ball
kababu	shish kebab
kababu	croquette
kabaila	nobleman noblewoman
kabaila	feudalist
kabaila	landowner
kabaila	overlord
kabambe	mammoth
kabambe	great
kabari	wedge seize by the throat
kabati	cupboard
kabibu	narrow and straight
kabichi	cabbage
kabidhi	entrust to
kabidhi	hand over
kabidhi	frugal economical
kabidhi	miserly
kabidhiwasii	executor
kabidhiwasii	trustee of inheritance
kabila	tribe
kabila	ethnic group
kabila	people things of the same origin
kabili	face sb sth
kabili	be directed towards
kabili	confront
kabili	accost
kabili	oppose
kabili	defy
kabili	clarinettist
kabili	brave straight forward person brave
kabili	straight forward
kabilisha	present before sb
kabilisha	send to
kabilisha	dispatch
kabiri	great
kabiri	exalted
kabisa	by all means
kabisa	with no doubt
kabisa	utterly
kabisa	quite
kabisa	wholly
kabisa	exactly
kabisa	not a bit
kabisa	never
kabisa	at all I dont like this at all extreme
kablaya	before
kabobo	spring tide even the rich get poor
kabohidrati	carbohydrate
kabonidioksidi	carbon dioxide
kaboni	carbon
kabrasha	meeting documents pamphlet
kabuli	pilaf of dry shark
kabuli	dry king fish or dry dugong
kabumbu	football
kabumbu	soccer
kabureta	carburettor
kaburi	li- ya- grave tomb sepulchre
kaburu	Boer
kabwela	common man
kabwela	proletariat
kabwiri	type of herring
kacha	be adamant
kacha	abscond
kacha	evade
kacha	word expressing the sound of something light falling down
kachara	rubbish
kachara	thrown away items
kachara	old
kachara	valueless
kachara	broken
kachero	spy
kachero	detective
kachero	plain clothes undercover police
kachira	bamboo basket
kachiri	childrens game of skipping to and fro
kachiri	mashed rice mixed with lentils
kachu	cachou
kachumbari	chutney
kada	cadre
kada	category
kadiri	modicum
Kadiri	God the Almighty
kadet	i cadet
kadha	particular certain number
kadha	i- zi- additional prayer made in a fast day after basic prayers routine timetable
kadhaa	need
kadhaa	requirement
kadhaa	several
kadhalika	similarly
kadhalika	likewise
kadhalika	in like manner
kadhi	Islamic judge
kadhi	cadi
kadhi	emir
kadhia	i- zi- affairs
kadhia	incident
kadhia	event
kadhia	happening misfortune
kadhibisha	refute
kadhibisha	deny
kadhibisha	prove false
kadhibu	lie
kadhibu	deceive
kadhibu	cheat
kadhongo	bride
kadi	card
kadi	caddy
kadibodi	cardboard
kadimisha	send in advance
kadimisha	forward
kadimisha	precede
kadimu	of long ago
kadimu	of long time
kadinali	cardinal
kadiri	form an idea thought
kadiri	consider
kadiri	weigh
kadiri	estimated amount
kadiri	average
kadiri	moderate
kadiri	reasonable amount moderately as much as
kadiri	about moderately
kadiri	on the average average
kadiria	estimate assess
kadiria	measure
kadirifu	careful
kadirifu	thoughtful
kadirifu	considerate
kadirifu	moderate
kadirifu	temperate average
kaditama	final
kaditama	limit
kaditama	end
kafala	surety
kafala	guarantee bail
kafani	shroud
kafani	burial cloth
kafara	sacrifice offering
kafeni	caffeine
kafeteria	cafeteria
kafi	scull-cap top
kafi	paddle
kafi	small steering oar
kafila	caravan
kafini	shroud a corpse
kafiri	infidel
kafiri	unbeliever
kafiri	atheist
kafiri	pagan
kaftani	caftan
kafua	thrash grain
kafua	beat off husks
kafukia	yell out for help
kafukia	cry out
kafuri	camphor
kaga	wound
kaga	ulcer pustule inflammation
kaga	protect by charm
kago	charm
kago	amulet
kago	talisman
kago	cargo
kago	freight
kagua	inspect
kagua	survey
kagua	examine
kahaba	prostitute
kaharabu	amber
Kahari	God the subduer
kahari	act of using force
kahati	calamity
kahati	disaster
kahati	catastrophe
kahawa	coffee
kahawia	brown yellowish-brown
kahini	soothsayer
kahini	diviner
kahini	witch
kahini	swindler deceiver
kahiri	force
kahiri	compel
kahiri	oblige
kai	surrender
kai	give in
kaida	custom
kaida	regulative principle
kaida	norm
kaidi	be obstinate
kaidi	contradict
kaidi	disobey
kaidi	be head-strong
kaidi	obstinate
kaidi	disobedient
kaidi	rebellious
kaidi	refractory
kaifa	news
kaifa	information
kaifa	report
kaifa	let alone
kaifa	not to mention
kaimani	caiman
kaimati	fritten
kaimu	Acting
kaimu	exorcist
kaini	cain
kaini	brutal
kaini	cruel
kaini	arrogant
kaini	haughty
kaini	contentious
Kaizari	a- Caesar Kaiser
kajayeye	kind of sweet cassava
kajekaje	cords fastening the sail to the main yard
kaji	giant lobster
kaka	elder brother
kaka	title of respect to address a man
kaka	shell
kaka	whitlow
kaka	agnail
kakakaka	rapidly
kakakaka	speedly
kakakaka	in a stampede hurriedly
kakakuona	pangolin
kakamaa	strain muscles
kakamaa	be hard and dry
kakamavu	sly
kakamavu	cunning
kakamavu	intelligent
kakamavu	hard and dry
kakamavu	lusty
kakamavu	strong
kakamia	make violent effort to get sth
kakamia	be stubborn
kakamiza	force something to happen
kakamiza	enforce
kakamizi	stubborn brave relentless hard
kakamka	strain muscles
kakao	cocoa
kakarakakara	doing something haphazardly
kakarakakara	confusion
kakarakakara	commotion
kakarakakara	turmoil
kakasi	tart
kakasi	aciduous
kakata	eat greedily
kakatua	break something hard by teeth
kakawana	be persistent
kakawana	insist on something
kakawana	be very strong
kaki	breadsticle pores
kaki	khaki
kala	kind of wild cat
kalafati	kt caulk
kalafati	oakum
kalakonje	kind of wild cat
kalamari	calamary
kalamini	calamine
kalamu	pen
kalasha	small animal horn
kalasi	sea vessel
kalasi	copper vase
kale	ancient times
kale	long ago
kale	former ages
kalenda	calendar
kali	sharp
kali	with a pointed edge
kali	acidic
kali	sour
kalia	sit on
kalia	delay purposely
kalibu	mould
kalibu	furnace
kalibu	heating pot
kalibu	mould
kalidi	spin
kalidi	follow
kalifu	agonize sth
kalifu	make sb suffer
kaligrafia	calligraphy
kaliko	calico
kalili	small
kalili	few
kalili	rare
kalima	statement
kalima	declaration proclamation
kalipa	callipers
kalipso	calypso
kalisi	calcium
kalisi	chalice
kalivari	calvary
kalomeli	calomel
kalori	calorie calory
kaltiveta	cultivator
kalvati	culvert
kama	like
kama	squeeze out
kama	milk
kamafleji	camouflage
kamambe	strong
kamambe	undaunted
kamambe	big
kamambe	enormous
kamanda	commander
kamandoo	commando
kamani	mainspring of watch clock
kamani	like what
kamani	very
kamani	extremely
kamari	gambling
kamari	game of chance
kamasi	nose mucus
kamasi	catarrh
kamata	hold
kamata	grasp
kamata	catch
kamata	seize
kamata	arrest
kamata	capture nab seize by the throat
kamata	deadly disease eg meningitis
kamata	cerebral malaria etc
kamati	committee
kamba	rope
kamba	cord
kamba	string
kamba	lace
kamba	line die escape
kamba	shrimp
kamba	prawn
kamba	crayfish
kambakoche	lobster
kambamti	lobster
kambarau	crane
kambarau	winch
kambarau	derrick
kambarau	rope in a dhow used when wind is very strong
kambarau	lift
kambarau	elevator
kambare	catfish
kambare	mudfish
kambaremamba	nm lungfish
kambi	camp set up pitch a camp strike camp
kambi	cambium
kambirani	who cares So what
kambo	step mother father
kambriki	cambric
kame	dry
kame	arid
kame	barren
kamera	camera
kamia	be anxious to do something
kamia	be insistent in demanding sth
kamia	menace
kamili	complete
kamili	exact
kamili	perfect absolute
kamilifu	perfect
kamilifu	exact
kamilio	forceful insistence
kamilisha	finalize
kamilisha	complete
kamisaa	commissar
kamishna	commissioner
kamisi	chemise
kamisi	petticoat
kamo	palm leaves strainer
kamongo	lungfish
kampeni	campaign
kampuni	- company
kamsa	alarm
kamsa	siren
kamua	squeeze out
kamua	press out
kamua	wring out
kamua	make sb bankrupt
kamua	squeeze sb something
kamukunji	student assembly
kamusi	dictionary
kamusi	lexicon
kamwe	never
kamwe	not at all
kana	deny
kana	disown
kana	renounce
kana	decline
kana	contradict
kana	disclaim
kana	negate
kana	tiller
kana	if as if
kana	as though
kanadili	convenience closet in a native vessel
kanali	colonel
kanama	there is nothing
kanchiri	brassiere
kanasta	canasta
kanda	knead
kanda	bag woven from straws palm leaves for storing food and other items
kanda	fee paid to a medicine-man
kanda	cheat
kanda	wilful perverse person
kanda	impotent man
kanda	zone
kanda	hand oars used when swimming
kanda	tape
kandambili	i- flip-flop
kandamiza	press heavy on something
kandamiza	suppress
kandamiza	oppress
kandanda	soccer
kandanda	football
kandarasi	i- zi- contract
kande	dish of mixed maize and beans
kandika	plaster
kandika	slap
kandili	lantern
kandirinya	l
kandirinya	teapot
kandirinya	bronze silver kettle
kandirinya	bitter cassava
kando	aside
kanga	guineafowl
kanga	ladys print cotton wrap
kangaga	fern
kangaga	flag
kangaichi	unripe
kangaichi	raw
kangaja	mandarin orange
kangaja	tangerine
kangaja	stinking fish
kangaja	type of long grass
kangaja	reeds
kangambili	flying insect with black and red wings
kanganya	confuse
kanganya	addlle
kanganya	baffle
kanganya	bewilder
kangaruu	kangaroo
kangara	local brew made of maize or millet chaff
kangara	yeast and sprouted millet plus sugar or honey
kangata	cling to
kangata	insist on
kangata	persist
kang'ata	feel great pain in the bones
kani	insistence
kani	obstinancy
kani	wedding celebrations celebrations for any happy event
kani	baggage room in a boat
kani	force
kania	medicinal herb whose roots are used to treat cramps
kanieneo	pressure air pressure
kaniki	black wrap worn by women
kanisa	church
kanisa	kirk
kanivali	carnival
kanja	plaited coconut palm leaf
kanja	mat made of strips of palm leaves
kanju	starch
kanju	porridge
kanju	cashew apple
kano	nm nihilism
kano	i- ligament
kanop	i - canopy
kansa	cancer
kanta	black colouring for hair
kantara	wooden bridge
kantini	canteen
kanu	genet
kanuni	rule
kanuni	regulation doctrine
kanuni	norm
kanusha	refute
kanusha	deny
kanusha	disprove
kanusha	retract negate
kanya	forbid
kanya	rebuke
kanyaga	trample on
kanyaga	tread on
kanyaga	beat soundly
kanyaga	oppress
kanyaga	treat unjustly
kanyaga	defeat
kanyaga	overpower
kanyagio	foot of a slaughtered animal usu used for making soup
kanyagio	bicycle pedal
kanza	warm
kanza	heat up
kanzi	treasure
kanzi	data bank
kanzi	pilaf
kanzu	cassock
kanzu	long sleeved plain calico robe
kanzu	gown
kapa	without winning even one lot of cards
kapa	waistcoat
kapa	mangrove swamp
kapeli	carpel
kapera	bachelor
kapera	unmarried man
kapi	- husk
kapi	bran
kapi	chaff
kapi	l pulley
kapilari	capillary
kapile	food sold at a market place
kapile	potatoes eaten together with fried peanuts
kapolojia	carpology
kapteni	captain
kapteni	pilot
kaptura	shorts
kaptura	a pair of shorts
kaptura	culottes
kapu	large basket
kaputa	exorcizing dance
kaputi	day dream
kaputi	heavy long coat
kaputi	dead person
kaputula	dirrhoea
kara	splinter
kara	spark
kara	pause made when reading the Koran to enable another reader to take up the reading
karaa	long text of Koran consisting of numerous verses
karabai	pressure lamp
karabai	acetylene lamp
karabati	rehabilitate
karabati	repair
karabini	nm carbine
karadha	loan
karadha	credit
karafuu	clove
karagosi	puppet
karagosi	caricature
karagosi	marionette
karagosi	stooge
karaha	disgust
karaha	loathing
karaha	abhorrence
karai	- large metal basin
karakana	workshop
karama	gracious gifts
karama	blessings
karama	talents
karama	endowments
karameli	caramel
karamka	be cheerful
karamka	be alert
karamka	be intelligent
karamka	get smart
karamshi	cheerful
karamshi	full of life
karamu	banquet
karamu	feast
karamu	party
karandinga	l police van
karandinga	Black Maria
karanga	peanut groundnut plant
karanga	peanut
karanga	groundnut
karani	clerk
karantini	quarantine
karara	l -
karara	tough sheath of coconut flower-stem
karara	honeycomb
karara	sugar coated bun
karasa	small mongoose like animal
karata	playing card
karata	card Kre
karatasi	piece of paper
karatasi	paper
karati	carat
karela	perennial climbing herb with pale yellow flowers and small spiny cucumber-like fruits
kareti	karate
karia	village
kariatidi	caryatid
karibia	approach
karibia	impend
karibia	come go near sb sth
karibia	move close to
karibiana	be close to one another
karibisha	welcome
karibisha	invite
karibisha	bring close
karibisho	invitation
karibisho	welcome
karibu	near
